text	lemma	ending	clitic	partofspeech	form	prob	freq
on	olema	0		V	b	0.7971	5837
on	olema	0		V	vad	0.2029	1486
kui	kui	0		J		0.9356	2369
kui	kui	0		D		0.0644	163
mis	mis	0		P	sg n	0.7771	840
mis	mis	0		P	pl n	0.2229	241
kes	kes	0		P	sg n	0.5977	465
kes	kes	0		P	pl n	0.4023	313
nagu	nagu	0		J		0.944	489
nagu	nagu	0		D		0.056	29
mida	mis	da		P	sg p	0.7947	391
mida	mis	da		P	pl p	0.2053	101
üks	üks	0		P	sg n	0.6682	286
üks	üks	0		N	sg n	0.3318	142
kõik	kõik	0		P	pl n	0.5902	252
kõik	kõik	0		P	sg n	0.4098	175
mille	mis	0		P	sg g	0.7454	243
mille	mis	0		P	pl g	0.2546	83
just	just	0		D		1.0	265
just	just	0		I		0.0	0
olnud	olema	nud		V	nud	0.9228	239
olnud	olnud	0		A		0.0695	18
olnud	olnud	0		A	sg n	0.0077	2
olnud	olnud	d		A	pl n	0.0	0
ühe	üks	0		P	sg g	0.5637	115
ühe	üks	0		N	sg g	0.4363	89
kuigi	kuigi	0		J		0.9015	183
kuigi	kuigi	0		D		0.0985	20
ise	ise	0		P	sg n	0.7134	117
ise	ise	0		P	pl n	0.2866	47
teine	teine	0		P	sg n	0.6914	112
teine	teine	0		O	sg n	0.3086	50
miks	miks	0		D		1.0	155
miks	miks	0		S	sg n	0.0	0
saanud	saama	nud		V	nud	0.8392	120
saanud	saanud	0		A		0.1608	23
saanud	saanud	d		A	pl n	0.0	0
saanud	saanud	0		A	sg n	0.0	0
kelle	kes	0		P	sg g	0.672	84
kelle	kes	0		P	pl g	0.328	41
teiste	teine	te		P	pl g	1.0	119
teiste	teine	te		O	pl g	0.0	0
tehtud	tehtud	0		A		0.5565	64
tehtud	tegema	tud		V	tud	0.4261	49
tehtud	tehtud	0		A	sg n	0.0174	2
tehtud	tehtud	d		A	pl n	0.0	0
seotud	seotud	0		A		0.531	60
seotud	siduma	tud		V	tud	0.4602	52
seotud	seotud	d		A	pl n	0.0088	1
seotud	seotud	0		A	sg n	0.0	0
jäänud	jääma	nud		V	nud	0.7431	81
jäänud	jäänud	0		A		0.2569	28
jäänud	jäänud	d		A	pl n	0.0	0
jäänud	jäänud	0		A	sg n	0.0	0
teise	teine	0		P	sg g	0.4352	47
teise	teine	0		O	sg g	0.3519	38
teise	teine	0		P	adt	0.2037	22
teise	teine	0		O	adt	0.0093	1
millest	mis	st		P	sg el	0.7586	66
millest	mis	st		P	pl el	0.2414	21
teised	teine	d		P	pl n	1.0	86
teised	teine	d		O	pl n	0.0	0
antud	antud	0		A		0.6706	57
antud	andma	tud		V	tud	0.3176	27
antud	antud	0		A	sg n	0.0118	1
antud	antud	d		A	pl n	0.0	0
ongi	olema	0	gi	V	b	0.8171	67
ongi	olema	0	gi	V	vad	0.1829	15
alusel	alus	l		S	sg ad	1.0	75
alusel	alune	l		S	sg ad	0.0	0
teatud	teatud	0		A		0.9595	71
teatud	teatud	d		A	pl n	0.027	2
teatud	teatud	0		A	sg n	0.0135	1
teatud	teadma	tud		V	tud	0.0	0
liidu	Liit	0		H	sg g	1.0	70
liidu	Liidu	0		H	sg g	0.0	0
liidu	Liidud	0		H	sg g	0.0	0
muutunud	muutuma	nud		V	nud	0.875	56
muutunud	muutunud	0		A		0.125	8
muutunud	muutunud	0		A	sg n	0.0	0
muutunud	muutunud	d		A	pl n	0.0	0
millega	mis	ga		P	sg kom	0.7581	47
millega	mis	ga		P	pl kom	0.2419	15
kasvanud	kasvama	nud		V	nud	0.8689	53
kasvanud	kasvanud	0		A		0.1311	8
kasvanud	kasvanud	0		A	sg n	0.0	0
kasvanud	kasvanud	d		A	pl n	0.0	0
läinud	minema	nud		V	nud	0.7	42
läinud	läinud	0		A		0.3	18
läinud	läinud	d		A	pl n	0.0	0
läinud	läinud	0		A	sg n	0.0	0
jõudnud	jõudma	nud		V	nud	0.9153	54
jõudnud	jõudnud	0		A		0.0847	5
jõudnud	jõudnud	0		A	sg n	0.0	0
jõudnud	jõudnud	d		A	pl n	0.0	0
tulnud	tulema	nud		V	nud	0.8103	47
tulnud	tulnud	0		A		0.1897	11
tulnud	tulnud	0		A	sg n	0.0	0
tulnud	tulnud	d		A	pl n	0.0	0
toimunud	toimuma	nud		V	nud	0.5179	29
toimunud	toimunud	0		A		0.4821	27
toimunud	toimunud	d		A	pl n	0.0	0
toimunud	toimunud	0		A	sg n	0.0	0
toodud	tooma	dud		V	tud	0.7321	41
toodud	toodud	0		A		0.2679	15
toodud	toodud	d		A	pl n	0.0	0
toodud	toodud	0		A	sg n	0.0	0
teises	teine	s		P	sg in	0.6727	37
teises	teine	s		O	sg in	0.3273	18
kellel	kes	l		P	pl ad	0.5556	30
kellel	kes	l		P	sg ad	0.4444	24
teinud	tegema	nud		V	nud	0.8679	46
teinud	teinud	0		A		0.1321	7
teinud	teinud	d		A	pl n	0.0	0
teinud	teinud	0		A	sg n	0.0	0
milles	mis	s		P	sg in	0.7547	40
milles	mis	s		P	pl in	0.2453	13
ühel	üks	l		P	sg ad	0.9623	51
ühel	üks	l		N	sg ad	0.0377	2
teisel	teine	l		O	sg ad	0.5882	30
teisel	teine	l		P	sg ad	0.4118	21
loodud	loodud	0		A		0.6275	32
loodud	looma	dud		V	tud	0.3333	17
loodud	loodud	d		A	pl n	0.0196	1
loodud	loodud	0		A	sg n	0.0196	1
teist	teine	t		P	sg p	0.5	25
teist	teine	t		O	sg p	0.5	25
näinud	nägema	nud		V	nud	0.9796	48
näinud	näinud	0		A		0.0204	1
näinud	näinud	0		A	sg n	0.0	0
näinud	näima	nud		V	nud	0.0	0
näinud	näinud	d		A	pl n	0.0	0
möödunud	möödunud	0		A		0.9184	45
möödunud	mööduma	nud		V	nud	0.0816	4
möödunud	möödunud	0		A	sg n	0.0	0
möödunud	möödunud	d		A	pl n	0.0	0
keda	kes	da		P	pl p	0.5	24
keda	kes	da		P	sg p	0.5	24
tõusnud	tõusma	nud		V	nud	0.9167	44
tõusnud	tõusnud	0		A		0.0833	4
tõusnud	tõusnud	d		A	pl n	0.0	0
tõusnud	tõusnud	0		A	sg n	0.0	0
tuntud	tuntud	0		A		0.8298	39
tuntud	tundma	tud		V	tud	0.0851	4
tuntud	tuntud	d		A	pl n	0.0426	2
tuntud	tuntud	0		A	sg n	0.0426	2
suunatud	suunatud	0		A		0.6667	30
suunatud	suunama	tud		V	tud	0.3333	15
suunatud	suunatud	d		A	pl n	0.0	0
suunatud	suunatud	0		A	sg n	0.0	0
võtnud	võtma	nud		V	nud	0.9773	43
võtnud	võtnud	0		A		0.0227	1
võtnud	võtnud	0		A	sg n	0.0	0
võtnud	võtnud	d		A	pl n	0.0	0
üheks	üks	ks		P	sg tr	0.8837	38
üheks	üks	ks		N	sg tr	0.1163	5
langenud	langema	nud		V	nud	0.7857	33
langenud	langenud	0		A		0.2143	9
langenud	langenud	d		A	pl n	0.0	0
langenud	langenud	0		A	sg n	0.0	0
ülejäänud	ülejäänud	0		A		0.9744	38
ülejäänud	ülejäänud	0		A	sg n	0.0256	1
ülejäänud	ülejäänud	d		A	pl n	0.0	0
võetud	võtma	tud		V	tud	0.7179	28
võetud	võetud	0		A		0.2821	11
võetud	võetud	d		A	pl n	0.0	0
võetud	võetud	0		A	sg n	0.0	0
ühtegi	üks	0	gi	P	sg p	0.5263	20
ühtegi	üks	0	gi	N	sg p	0.4737	18
ühes	üks	s		P	sg in	0.7632	29
